Id,SalePrice
1461,120615.46770865386
1462,161987.39511422286
1463,183562.443444767
1464,202989.09212214203
1465,195516.81690803875
1466,169688.83975388072
1467,174668.3030428296
1468,162779.21033254574
1469,195504.42901350022
1470,115738.48714758962
1471,180140.55192095946
1472,96012.58272698277
1473,92604.17544345181
1474,145926.36237305813
1475,112600.47415290003
1476,363957.9582436761
1477,247474.41385959354
1478,298663.4012592259
1479,284562.09681408113
1480,516940.71198992565
1481,320939.74613691814
1482,215909.45752079852
1483,180313.55563895346
1484,164387.19570422496
1485,189176.67627310462
1486,194676.7041116379
1487,335554.51676733844
1488,230857.00429406692
1489,192260.28787486462
1490,249522.96318463824
1491,192045.94551928583
1492,91777.42712160287
1493,182596.40305455663
1494,288079.5542129541
1495,289032.15637527657
1496,239488.92507040684
1497,182734.51870274436
1498,167506.37843934103
1499,163397.9078355385
1500,157151.69182324118
1501,178938.56653790237
1502,147980.35051996942
1503,293209.7053176959
1504,241299.1293971479
1505,227525.77074610785
1506,194328.193834041
1507,252346.2810365363
1508,202455.9379808755
1509,154630.78790026813
1510,143186.54347902688
1511,146814.2846866905
1512,172464.68876548985
1513,144316.439698974
1514,154451.37589643212
1515,190449.51259095475
1516,152192.2677873663
1517,176502.83178814873
1518,132541.82434440954
1519,203561.4873799219
1520,127975.64441912004
1521,133829.89708889896
1522,180450.2536530431
1523,110319.27702698873
1524,124387.18497082661
1525,121192.90377626427
1526,114413.08832619818
1527,104379.02680196828
1528,135842.97586657523
1529,151895.4317330647
1530,187961.24942505072
1531,107217.97428635244
1532,96960.891633752
1533,146952.46243437607
1534,120583.11389476182
1535,145519.04482317224
1536,107122.26818961656
1537,57289.673230980894
1538,151176.7050529527
1539,190902.09897651905
1540,93897.41052928804
1541,146373.21145947036
1542,140158.91209908767
1543,191584.2568302016
1544,86201.19261449332
1545,116846.27578124235
1546,133006.08663441526
1547,135124.60854929494
1548,136578.9680514932
1549,120288.2964682846
1550,131221.9262362413
1551,106148.1984889745
1552,136187.2458236219
1553,151607.7411093276
1554,119751.87926371247
1555,168858.77844208118
1556,92193.3849633306
1557,109854.25738403297
1558,105145.34287198006
1559,74294.35858585125
1560,129789.38148188045
1561,129569.06200796485
1562,129927.53187607444
1563,120266.03468303978
1564,160246.18594820212
1565,144118.6707996281
